track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
117,D,15,15,1,-0.5715920890716976,1.8117673967104422,6.6616916178770875,0.09391157839898683,0.06691274530683594,0.9525652898878934,1.2721584940896524,1.5848429599969354,True
118,E,37,37,3,-0.2289201377469745,1.6003558432374543,5.677248704606561,0.5738148841132477,0.15871816719858725,0.7893941756047691,1.0854256214146443,3.495445745813608,True
119,B,8,8,0,-0.04334102376200854,-1.5722810474972215,6.487277808408523,0.07026629522042498,0.0330561713892489,0.9912610014436312,1.4444398594284595,-18.138485331251413,False
120,E,3,3,0,-0.8434566203282119,-1.6423051900390901,5.590043131059269,2.7614589291054912e-15,3.487224526132617e-15,1.0,1.0,-0.9735564049518187,False
121,A,18,18,1,-0.7417498237846174,2.8006397333564417,6.06116945658725,0.04369227095770511,0.016187824197025528,0.9967699878855293,0.7758137957246387,1.8878600597886128,True
122,D,22,22,1,-0.6832685803677027,2.7787595428428444,6.343957807130184,0.09662044050940388,0.031959472808059324,0.9905199668987777,1.912614941308453,2.0334313787320997,True
123,D,6,6,1,-1.0427062649011662,1.1759029325704529,5.261709648528968,0.010659786155656789,0.03204314872349517,0.9912641171662582,0.7947544342294239,0.5638706566522412,True
124,C,17,17,1,-1.0206619368042649,3.380744246088808,7.31787697281174,0.17714145310240173,0.050533890565578575,0.9667399495588732,2.9341865978829245,1.6561527985818985,True
125,A,9,9,1,-1.1120943226501143,2.2613326469553416,5.699375296459761,0.01971941003825794,0.017589176803447768,0.9970100837627783,0.9703208845398751,1.0167000230549685,True
126,D,21,21,1,-0.6934449689576538,2.7221466220861337,5.2999288669582265,0.11836361507015233,0.040606887285288926,0.983317472251058,1.6938143503870617,1.9627704749072634,True
127,E,53,53,3,0.03992698363002588,-0.6242269991550136,10.688055235720153,1.7011566543541732,0.2812367130531342,0.15159295528139372,1.6705719310920388,7.8171069086919776,True
128,E,3,3,1,-7.088496611164228,2.404793172539802,6.556956922296732,3.161050162967915e-15,8.551284467400799e-15,1.0,1.0,0.169626459914808,True
129,D,14,14,1,-0.1432079161054608,-0.25451283013392145,7.35564624315761,0.07727088468881879,0.04525155632571024,0.9831926812828999,1.3243990653426196,-0.8886129938043851,False
130,D,14,14,1,-0.8261677224097139,2.129418285281867,6.847597545952336,0.051942773519105444,0.03441163552312939,0.9882732615052181,1.3011001887871174,1.2887324374467897,True
131,D,9,9,1,-0.3781223902662839,-0.07734638808397198,6.946566709409667,0.08098312982346088,0.06546130569671499,0.965023104601398,1.9728686094324919,-0.10227692154053954,False
132,B,11,11,0,-0.8921588825001472,0.29713281275844433,7.491360077218835,0.017016875406787015,0.005640412706226041,0.9997058102000489,0.8777626041954218,0.16652460597924681,True
133,C,15,15,1,-0.6647924509468799,1.4714066860031834,5.5439667907277155,0.12391236544441205,0.07102632231101079,0.9525224062432801,2.70184071859739,1.1066662113170986,True
134,A,23,23,1,-0.6665505586867273,2.4301351662755493,8.07133281304579,0.08127490180042203,0.018447629627899493,0.9957275109573342,1.3078314297277382,1.8229188578459288,True
135,E,30,30,5,0.07881040431390983,-0.5540717819806715,7.7356452029307246,0.3239857338719037,0.2350254529694617,0.40902865658930276,1.5931207240040965,3.5152197657415094,True
136,D,6,6,1,-0.3328714865801021,0.42133667971584826,5.710605338285822,0.023320827493416484,0.1517670230300897,0.7875563006673307,0.7102877398237523,0.6328819029299133,True
137,A,11,11,1,-0.7534257512437307,0.6230184549401395,6.317140439891357,0.011555959415216607,0.006133491293470635,0.999651727489419,0.9692881820747588,0.41345710171949984,True
138,A,9,9,1,-0.6762687010742974,0.0849196719376096,6.271580869235169,0.015761865851407236,0.009792090591957993,0.9991445511563222,0.6307583809778937,0.06278545184976704,True
139,D,7,7,1,1.0202011469769197,-2.6442948018719066,7.261870369106358,0.08169114477030485,0.05178500055044246,0.9794836869571689,0.30306722489911686,1.2959673735456647,True
140,E,15,15,2,-0.186521143099025,-0.5903374929995082,9.017298834203077,0.31292484151620426,0.10523476090946678,0.912881947914566,1.5008542284357997,-1.5824948399712924,False
141,E,19,19,3,-0.5335456063271775,2.2123192845281214,4.52023150019361,0.19542530163974878,0.0937716282054313,0.9179404700560525,1.066225450066749,2.073224161433256,True
142,D,13,13,1,-0.47767071541720363,0.47584247733152635,6.27450970124483,0.12830315204921341,0.06612944851568506,0.9642507569456295,1.3039256693471735,0.49808629875490645,True
143,E,22,22,2,-0.6139347142201671,1.9447279398689834,7.0277884284181384,0.31970228377393906,0.08995969435951784,0.9330074073185666,2.0996465886975026,1.583823079901271,True
144,E,46,46,5,-0.006165298704776514,0.08586626024047601,6.648787495745545,0.752628931543305,0.2561869280782186,0.01296924676249811,0.7253470515467276,6.963673972029275,True
145,C,19,19,1,-0.9212267916977386,2.9717529508995493,6.929832899270428,0.1254330034619887,0.03793469280380086,0.9860493829102811,5.6863580621125935,1.6129323298462013,True
146,A,7,7,1,-0.8769169905602595,0.5009686465450045,6.690834493185667,0.003598652996163597,0.004929862947437667,0.9997957791425186,0.9564017676339022,0.28564200029066444,True
147,A,25,25,1,-0.8389244653759538,3.8829817899121917,7.1736189341166225,0.036234078328204744,0.007051080788524138,0.9994681481145967,0.867160699778314,2.3142618615682404,True
148,B,7,7,0,0.09737200828913097,-1.9320747534235239,6.63834990244044,0.08060294085747835,0.040007007002986955,0.9878310578174296,1.043576495970112,9.921099437974668,False
149,E,41,41,5,0.015728956549264067,0.06476282702247108,7.477880513897296,0.8437845808593545,0.27177217590832736,0.2274563097362552,1.5895812266981222,-2.058713393340171,False
150,D,9,9,1,-0.6919268430742892,1.2412385552927245,5.166755309091865,0.05985593598952817,0.09574938194302324,0.8964433667696523,0.4918948835277824,0.8969434902812826,True
